,Article,Wort,Word
0,der,"Gebrauch, -¨e",use
1,das,"Eis, -X","ice, ice cream"
2,das,"Hackfleisch, -X",piece of meat for slicing
3,das,"Müsli, -","grain cereal, cereal grains"
4,das,"Ungeheuer, -","monster, monstrosities"
5,das,"Abitur, -e",school exam
6,das,"Alter, -",age
7,das,"Amt, -¨er","office, bureau"
8,das,"Angebot, -e","bid, offer"
9,das,"Aquarium, -en",aquarium
10,das,"Asyl, -e",asylum
11,das,"Auge, -n",eye
12,das,"Ausland, x",overseas
13,das,"Aussehen, -X",appearance
14,das,"Autohaus, -¨er",car dealership
15,das,"Bargeld, -er",cash money
16,das,"Beet, -e","bed, patch (of flowers, etc.)"
17,das,"Bein, -e",leg
18,das,"Bekenntnis, -X",confession
19,das,"Bekleidungsgeschäft, -e",clothing store
20,das,"Besteck, -e","cutlery, flatware, silverware"
21,das,"Bier, -e",beer
22,das,"Bild, -er",photo
23,das,"Blatt, -¨er","leaf, leaves"
24,das,"Blut, -X",blood
25,das,"Blütenblatt, -¨er",flower petal
26,das,"Bonbon, -s","candy, treat"
27,das,"Brett, -er",cutting board
28,das,"Brät, -X",meat
29,das,Brötchen,small bread roll
30,das,"Bund, -",a bundle
31,das,"Bußgeld, -er","fine, penalty"
32,das,"Bügeleisen,",noun
33,das,"Chaos, -",chaos. Disorder
34,das,"Croissant, -s",croissant
35,das,"Datum, -en",date
36,das,"Denken, -","thought, thoughts"
37,das,"Dirndl, -",bavarian traditional womenÂ´s dress
38,das,"Doppelbett, -en",double bed
39,das,"Doppelzimmer, -",double room
40,das,"Dorf, -¨er",village
41,das,"Dreieck, -e",triangle
42,das,"Dunkel, x",darkness
43,das,"Einzelzimmer, -",one bedroom hotel
44,das,"Elektrogeschäft, -er",electronics store
45,das,"Erdbeben, -X",earthquake
46,das,"Etui, -s",small case - i.e. Glasses case
47,das,"Fahrzeug, -e",vehicle
48,das,"Fasten, -X",a fast
49,das,"Feld, -er",field
50,das,"Fenster, -s",window
51,das,"Fernweh, -",wander lust
52,das,"Festgewand, -¨er",festive garment
53,das,"Fett, -e",fat
54,das,"Fieber, -",fever
55,das,"Formular, -e",form
56,das,"Fresko, -en",fresco
57,das,"Fundament, -e",foundation
58,das,"Gammelfleisch, -X","rotten meat, roadkill"
59,das,"Garagentor, -e",garage door
60,das,Gebirge (pl),"the mountains, mountain range"
61,das,"Gebot, -e","command, commandments"
62,das,"Gefieder , -","feathers, plumage"
63,das,"Geflügel, -X",poultry
64,das,"Gefolge, -",entourage
65,das,"Gefühl, -e","a feeling, feelings"
66,das,"Gegenteil, -e",opposite
67,das,"Geheimnis, -es",mystery
68,das,"Gelächter, -X",laughter
69,das,"Gemüse, -",vegetables
70,das,"Gepäck, -, die Gepäckstücke, -n",hand luggage
71,das,"Gericht, -e","meal, court of justice"
72,das,"Geschenk, -e",gift
73,das,"Geschirr, -",dishes
74,das,"Geschrei, x",clamour
75,das,"Gesetz, -e","law, statute"
76,das,"Gesicht, -er",face
77,das,"Gesäß, -e","bottom, seat, posterior"
78,das,"Getreide, -n","grain, cereals"
79,das,"Getöse, x",roar
80,das,"Getümmel, x",ruckus
81,das,"Gewicht, -X",weight
82,das,"Glas, -¨er",glass
83,das,"Glück, -",luck
84,das,"Gold, -",gold
85,das,"Grundstück, -e","piece of land, real estate, lot"
86,das,"Haar, -e",hair
87,das,"Hammerwerfen, -X",hammer throwing
88,das,"Handgelenk, -e",wrist
89,das,"Handgepäck, -e",hand luggage
90,das,"Heimweh, -X",homesickness
91,das,"Hemd, -en",shirt
92,das,"Hochhaus, -¨er",apartment building
93,das,"Holz, -¨er",wood
94,das,"Hähnchen, -",chicken
95,das,"Hörnchen, -",croissant
96,das,"Ideal, -e","ideal, ideals"
97,das,"Idol, -e",idol
98,das,"Interesse, -n",interest
99,das,Interrogativpronomen,interrogative pronoun
100,das,"Jahr, -e",year
101,das,"Joch, -e",yoke
102,das,"Kalb, -¨er",calf
103,das,"Kalbsflesich, -X",calf meat
104,das,"Kaninchen, -","rabbit, small domesticated"
105,das,"Kapitel, -",chapter
106,das,"Kaufhaus, -¨er",department store
107,das,"Kilo, -s",kilo
108,das,"Kinn, -e",chin
109,das,"Kissen, -","cushion, pillow"
110,das,"Klavier, -e",piano
111,das,"Kleingeld, -er",small change
112,das,"Knie, -e",knee
113,das,"Koffein, -x",caffeine
114,das,"Konzert, -e",concert
115,das,"Kotelett, -e",cutlet
116,das,"Kraut, -¨er",plant
117,das,"Kugelstoßen, -",shot put (sport)
118,das,"Känguru, -s",kangaroo
119,das,"Kännchen, -","pot, kettle"
120,das,"Lammfleisch, -",lamb meat
121,das,"Land, -¨er","land, country, nation"
122,das,"Leben, -",life
123,das,"Lied, -er",song
124,das,"Lied, -er","song, songs"
125,das,"Lob, -e",praise
126,das,"Maul, -¨er","mouth, jaws (for animal)"
127,das,"Medikament, -e",medication
128,das,"Meer, -e",sea
129,das,"Messer, -",knife
130,das,"Metermaß, -e","ruler, measuring tape"
131,das,"Mikrofon, -e",microphone
132,das,"Missverständnis, -se",misunderstanding
133,das,"Mitleid, x",compassion
134,das,"Mäppchen, -",small pencil case
135,das,"Möbelhaus, -¨er",furniture store
136,das,"Nasenloch, -¨er",nostrils
137,das,"Nest, -er",nest
138,das,"Netz, -e","net, the internet"
139,das,"Obst, -",fruit
140,das,"Ohr, -en",ear
141,das,"Paar, -e",a pair of something
142,das,"Paket, -e",parcel (in the mail)
143,das,"Paradie s, -e",paradise
144,das,"Pech, -e",pitch
145,das,"Pflaster, -","plaster, poultice"
146,das,"Pfund, -e","500 grams, .5 Kilo"
147,das,"Picknick, -e",picnic
148,das,"Plätzchen, -",biscuit
149,das,Polen,poland
